CATEGORIAS;descricaoesfera;unidadeorcamentaria;descricaofuncao;descricaosubfuncao;tituloprograma;descricaotipoprograma;tituloacao;tipoacao;descricaoproduto;uf;regiao;estado
Educação de Jovens e Adultos;;;;22;;;;;;;;
Empreendimento apoiado;;;;;;;;;351;;;
Encargos Especiais;;;22;;;;;;;;;
Ensino Profissional;;;;864;;;;;;;;
Espírito Santo;;;;;;;;;;;;371
Estruturação e Inclusão Produtiva dos Agricultores Familiares e dos Pequenos e Médios Produtores Rurais;;;;;;;273;;;;;
Evento/missão realizado(a);;;;;;;;;151;;;
Extensão Rural;;;;1995;;;;;;;;
Exterior;;;;;;;;;;180;180;180
Família assistida;;;;;;;;;4;;;
Família atendida;;;;;;;;;674;;;
Família beneficiada;;;;;;;;;190;;;
Finalístico;;;;;;21734;;;;;;
Fiscalização dos Estoques e das Operações de Garantia e Sustentação de Preços na Comercialização de Produtos Agropecuários;;;;;;;42;;;;;
Fiscalização realizada;;;;;;;;;194;;;
Fomento ao Setor Agropecuário;;;;;;;6350;;;;;
Fomento à Produção Pesqueira e Aquícola;;;;;;;293;;;;;
Fomento à Tecnologia Agropecuária e aos Recursos Genéticos;;;;;;;305;;;;;
Formação de Estoques Públicos - AGF;;;;;;;124;;;;;
Formação de Estoques Públicos com Produtos da Agricultura Familiar - AGF-AF;;;;;;;1;;;;;
Fortalecimento do Sistema Unificado de Atenção à Sanidade Agropecuária - SUASA;;;;;;;285;;;;;
Fortalecimento e Dinamização da Agricultura Familiar;;;;;31;;;;;;;
Funcionamento dos Terminais Pesqueiros Públicos de Propriedade e Administração da União;;;;;;;35;;;;;
GO;;;;;;;;;;104;;
Gestão Ambiental;;;675;;;;;;;;;
Gestão Ambiental e Etnodesenvolvimento;;;;;;;2;;;;;
Gestão Socioambiental em Territórios de Povos e Comunidades Tradicionais e Agricultores Familiares e em Terras Indígenas;;;;;;;2;;;;;
Gestão e Manutenção;;;;;;1913;;;;;;
Gestão e Operacionalização do Terra Brasil;;;;;;;117;;;;;
Goiás;;;;;;;;;;;;104
Governança Fundiária;;;;;4694;;;;;;;
Governança Fundiária e Gerenciamento do Cadastro Rural;;;;;;;272;;;;;
INCRA;;4423;;;;;;;;;;
Implementação da Defesa Agropecuária;;;;;;;40;;;;;
Imóvel com geocadastro;;;;;;;;;150;;;
Imóvel gerenciado;;;;;;;;;270;;;
Imóvel regularizado;;;;;;;;;2;;;
Informação disponibilizada;;;;;;;;;202;;;
Infraestrutura adaptada/modernizada;;;;;;;;;209;;;
Iniciativa de fomento implementada;;;;;;;;;293;;;
Iniciativa implementada;;;;;;;;;190;;;
Iniciativa realizada;;;;;;;;;39;;;
Inventário Florestal Nacional;;;;;;;2;;;;;
Laboratório ampliado;;;;;;;;;5;;;
MA;;;;;;;;;;78;;
MG;;;;;;;;;;839;;
MS;;;;;;;;;;323;;
MT;;;;;;;;;;247;;
Manutenção de Contrato de Gestão com Organizações Sociais (Lei nº 9,637, de 15 de maio de 1998);;;;;;;3;;;;;
Manutenção de Contrato de Gestão com Organizações Sociais (Lei nº 9.637, de 15 de maio de 1998);;;;;;;86;;;;;
Manutenção e Modernização da Infraestrutura Física das Unidades da Embrapa;;;;;;;62;;;;;
Maranhão;;;;;;;;;;;;78
Mato Grosso;;;;;;;;;;;;247
Mato Grosso do Sul;;;;;;;;;;;;323
Meteorologia ;;;;164;;;;;;;;
Minas Gerais;;;;;;;;;;;;839
Modernização e Fortalecimento da Defesa Agropecuária;;;;;;;921;;;;;
Monitoramento de Conflitos Agrários e Pacificação no Campo;;;;;;;200;;;;;
Nordeste;;;;;;;;;;;3471;
Normalização e Qualidade;;;;5;;;;;;;;
Normatização e Fiscalização;;;;1277;;;;;;;;
Norte;;;;;;;;;;;3165;
Não Especificado;;;;;;;;;1923;;;
Obtenção de Imóveis Rurais para Criação de Assentamentos da Reforma Agrária;;;;;;;2;;;;;
Operação Especial;;;;;;;;289;;;;
Operações Especiais: Gestão da Participação em Organismos e Entidades Nacionais e Internacionais;;;;;22;;;;;;;
Ordenamento Territorial;;;;1500;;;;;;;;
Ordenamento, Monitoramento, Controle e Fiscalização da Atividade Pesqueira;;;;;;;39;;;;;
Organização Agrária;;;4630;;;;;;;;;
Organização da Estrutura Fundiária;;;;;;;150;;;;;
Orçamento Fiscal;23647;;;;;;;;;;;
Outros Encargos Especiais;;;;22;;;;;;;;
PA;;;;;;;;;;516;;
PB;;;;;;;;;;516;;
PE;;;;;;;;;;504;;
PI;;;;;;;;;;129;;
PR;;;;;;;;;;818;;
Paraná;;;;;;;;;;;;818
Paraíba;;;;;;;;;;;;516
Participação do Brasil, como País não Membro, em Atividades de Cooperação Econômica junto à Organização para Cooperação e Desenvolvimento Econômico - OCDE;;;;;;;4;;;;;
Participação do Brasil, como País não Membro, em Atividades de Cooperação Econômica junto à Organização para Cooperação e Desenvolvimento Econômico - OCDE e seus órgãos vinculados;;;;;;;119;;;;;
Pará;;;;;;;;;;;;516
Pernambuco;;;;;;;;;;;;504
Pesca e Aquicultura;;;;;32;;;;;;;
Pesquisa desenvolvida;;;;;;;;;914;;;
Pesquisa e Desenvolvimento de Tecnologias para a Agropecuária;;;;;;;914;;;;;
Pesquisa e Desenvolvimento nas Organizações Sociais;;;;;;;2;;;;;
Pesquisa e Informações Florestais;;;;;;;204;;;;;
Pesquisa e Inovação Agropecuária;;;;;1827;;;;;;;
Pesquisa e Inovações para a Agropecuária;;;;;115;;;;;;;
Pessoa beneficiada;;;;;;;;;22;;;
Pessoa capacitada;;;;;;;;;864;;;
Piauí;;;;;;;;;;;;129
Planejamento, Gestão e Fiscalização das Concessões Florestais;;;;;;;2;;;;;
Portal mantido;;;;;;;;;2;;;
Preservação e Conservação Ambiental;;;;824;;;;;;;;
Produto adquirido;;;;;;;;;125;;;
Produtor assistido;;;;;;;;;656;;;
Produtor atendido;;;;;;;;;455;;;
Produtor beneficiado;;;;;;;;;830;;;
Produção e Divulgação de Informações Meteorológicas e Climatológicas;;;;;;;119;;;;;
Programa de Gestão e Manutenção da Presidência da República;;;;;4;;;;;;;
Programa de Gestão e Manutenção do Ministério da Agricultura, Pecuária e Abastecimento;;;;;98;;;;;;;
Programa de Gestão e Manutenção do Ministério do Meio Ambiente;;;;;2;;;;;;;
Programa de Gestão e Manutenção do Poder Executivo;;;;;1809;;;;;;;
Projeto;;;;;;;;70;;;;
Projeto apoiado;;;;;;;;;7145;;;
Projeto consolidado;;;;;;;;;708;;;
Promoção Comercial;;;;151;;;;;;;;
Promoção da Educação do Campo;;;;;;;864;;;;;
Promoção da Igualdade Racial e Superação do Racismo;;;;;2;;;;;;;
Promoção da Inovação tecnológica na Agropecuária;;;;;;;87;;;;;
Promoção da Produção Agropecuária;;;;9449;;;;;;;;
Promoção do Agronegócio Brasileiro no Mercado Internacional;;;;;;;151;;;;;
