Feature;Importancia
%_Receber_Orientacao_Tecnica;0.5210837
regiao_Sudeste;0.31889364
regiao_Centro-Oeste;0.106708646
Log_Pop_Por_Propriedade;0.017869778
PIB;0.011040758
regiao_BR;0.010882334
tipoacao_CAPEX;0.00480142
regiao_Norte;0.0035574408
Pago_USD;0.0035075808
unidadeorcamentaria_EMBRAPA;0.0006972458
unidadeorcamentaria_INCRA;0.00042643695
regiao_Sul;0.0003656102
unidadeorcamentaria_MAPA;0.00016538413
unidadeorcamentaria_SFB;0.0
