;IDH;Pago_USD;PIB;Log_Pop_Por_Propriedade;%_Receber_Orientacao_Tecnica;tipoacao_CAPEX;regiao_BR;regiao_Centro-Oeste;regiao_Nordeste;regiao_Norte;regiao_Sudeste;regiao_Sul;unidadeorcamentaria_CONAB;unidadeorcamentaria_EMBRAPA;unidadeorcamentaria_INCRA;unidadeorcamentaria_MAPA
IDH;1.0;0.05228949663460506;0.5621180193796566;0.6285194663232385;0.8136292610784666;0.06551814064565188;0.11411739700458699;0.30258529856396726;-0.5308745168320299;-0.40772764750246937;0.43283284728883964;0.32713132222665386;0.05356843199735357;-0.011573700352380605;0.01504913741828828;-0.022745035914418982
Pago_USD;0.05228949663460506;1.0;0.013073816339569862;-0.023292171930888395;-0.03519221108577201;0.019623316478133566;0.442320069773614;-0.08282629608766204;-0.13221346494877959;-0.1215282712095229;-0.09174887530222811;-0.07841890012988326;0.07754304881890331;-0.08286958739992169;-0.07404847523272236;0.09629900267893471
PIB;0.5621180193796566;0.013073816339569862;1.0;0.487725827003315;0.3576902141939109;-0.02137577802051926;0.027375413757008762;-0.10581284831231963;-0.25402923690230417;-0.3092451532937012;0.6628882494561299;0.08993705784003209;-0.02250668297432827;0.033164628478222005;-0.007104131866413743;-0.017206646275311856
Log_Pop_Por_Propriedade;0.6285194663232385;-0.023292171930888395;0.487725827003315;1.0;0.6296442055038461;0.0486011655547053;-0.05028993321966194;0.37285881448730523;-0.34348736379053;-0.14905792016657257;0.412853152871892;-0.10080203197629156;0.034354865836670676;0.08289858495844994;0.0003877506102013125;-0.08395113680628737
%_Receber_Orientacao_Tecnica;0.8136292610784666;-0.03519221108577201;0.3576902141939109;0.6296442055038461;1.0;0.031360678935016005;-0.08207113956744064;0.4454726740295281;-0.4405139867793645;-0.32134710030214453;0.1509347172846188;0.529063892060648;0.05720210955002868;-0.004877261498918922;0.008889932867638714;-0.020227227235083006
tipoacao_CAPEX;0.06551814064565188;0.019623316478133566;-0.02137577802051926;0.0486011655547053;0.031360678935016005;1.0;0.2084479746089426;0.010647585593488882;-0.04714006630703589;-0.09501973017241308;-0.03933499375578127;-0.06329911074717393;-0.0356347438752784;0.08321283831927029;-0.07196143412675896;-0.007769772004000335
regiao_BR;0.11411739700458699;0.442320069773614;0.027375413757008762;-0.05028993321966194;-0.08207113956744064;0.2084479746089426;1.0;-0.1874581613293911;-0.29525262988877565;-0.27184438759919677;-0.2118296364340809;-0.18109405241854756;0.06735873415310814;-0.0473006956808245;0.04137465913868609;-0.04374245976688913
regiao_Centro-Oeste;0.30258529856396726;-0.08282629608766204;-0.10581284831231963;0.37285881448730523;0.4454726740295281;0.010647585593488882;-0.1874581613293911;1.0;-0.1897629090055443;-0.17471811108706195;-0.13614580855202116;-0.11639162775109464;0.048733180216352735;0.010207749952659101;-0.02803379829313872;-0.001967971459182194
regiao_Nordeste;-0.5308745168320299;-0.13221346494877959;-0.25402923690230417;-0.34348736379053;-0.4405139867793645;-0.04714006630703589;-0.29525262988877565;-0.1897629090055443;1.0;-0.275186641231428;-0.21443402484187027;-0.18332055508728654;0.03695250722022123;-0.005475478971500155;-0.07025046428693046;0.04808753636950296
regiao_Norte;-0.40772764750246937;-0.1215282712095229;-0.3092451532937012;-0.14905792016657257;-0.32134710030214453;-0.09501973017241308;-0.27184438759919677;-0.17471811108706195;-0.275186641231428;1.0;-0.19743324957182812;-0.16878652038026357;-0.09501973017241308;0.0589872907468958;0.06552998528748837;-0.05193957490960131
regiao_Sudeste;0.43283284728883964;-0.09174887530222811;0.6628882494561299;0.412853152871892;0.1509347172846188;-0.03933499375578127;-0.2118296364340809;-0.13614580855202116;-0.21443402484187027;-0.19743324957182812;1.0;-0.1315237278315266;-0.07404234118735277;0.02443826626621502;-0.016472808728402108;0.023948915240886482
regiao_Sul;0.32713132222665386;-0.07841890012988326;0.08993705784003209;-0.10080203197629156;0.529063892060648;-0.06329911074717393;-0.18109405241854756;-0.11639162775109464;-0.18332055508728654;-0.16878652038026357;-0.1315237278315266;1.0;0.014983034192815074;-0.04338502164578956;0.0007836512468267941;0.03774315673946211
unidadeorcamentaria_CONAB;0.05356843199735357;0.07754304881890331;-0.02250668297432827;0.034354865836670676;0.05720210955002868;-0.0356347438752784;0.06735873415310814;0.048733180216352735;0.03695250722022123;-0.09501973017241308;-0.07404234118735277;0.014983034192815074;1.0;-0.1082060936448461;-0.07196143412675896;-0.22311080403539818
unidadeorcamentaria_EMBRAPA;-0.011573700352380605;-0.08286958739992169;0.033164628478222005;0.08289858495844994;-0.004877261498918922;0.08321283831927029;-0.0473006956808245;0.010207749952659101;-0.005475478971500155;0.0589872907468958;0.02443826626621502;-0.04338502164578956;-0.1082060936448461;1.0;-0.21851330564324606;-0.6774834313143391
unidadeorcamentaria_INCRA;0.01504913741828828;-0.07404847523272236;-0.007104131866413743;0.0003877506102013125;0.008889932867638714;-0.07196143412675896;0.04137465913868609;-0.02803379829313872;-0.07025046428693046;0.06552998528748837;-0.016472808728402108;0.0007836512468267941;-0.07196143412675896;-0.21851330564324606;1.0;-0.450553916810946
unidadeorcamentaria_MAPA;-0.022745035914418982;0.09629900267893471;-0.017206646275311856;-0.08395113680628737;-0.020227227235083006;-0.007769772004000335;-0.04374245976688913;-0.001967971459182194;0.04808753636950296;-0.05193957490960131;0.023948915240886482;0.03774315673946211;-0.22311080403539818;-0.6774834313143391;-0.450553916810946;1.0
