exerciciofiscal;uf;subfuncao;Autorizado;Pago;Autorizado_USD;Pago_USD;IDH;Populacao;PIB;Valor_PIB_Agronegocio;Valor_PIB_Agricola;Valor_PIB_Pecuario;%_PIB_Agronegocio;%_PIB_Agricola;%_PIB_Pecuario;Total_Propriedade_Agricola;Populacao_Por_Propriedade;Log_Pop_Por_Propriedade;Norm_Pop_Por_Propriedade;Nao_Recebe_Orientacao_Tecnica;%_Nao_Recebe_Orientacao_Tecnica;Recebe_Orientacao_Tecnica;%_Receber_Orientacao_Tecnica;Governo_Orientacao_Tecnica;Propria_Orientacao_Tecnica;Cooperativas_Orientacao_Tecnica;Empresas_Integradoras_Orientacao_Tecnica;Empresas_Privadas_Orientacao_Tecnica;ONG_Orientacao_Tecnica;Sistema_S_Orientacao_Tecnica;Outra_Origem__Orientacao_Tecnica;tipoacao_CAPEX;tipoacao_OPEX;tipoacao_Operação Especial;regiao_BR;regiao_Centro-Oeste;regiao_Nordeste;regiao_Norte;regiao_Sudeste;regiao_Sul;unidadeorcamentaria_CONAB;unidadeorcamentaria_EMBRAPA;unidadeorcamentaria_INCRA;unidadeorcamentaria_MAPA;unidadeorcamentaria_SFB
2018;BR;Meteorologia ;800000.0;0.0;219178.0822;0.0;0.77;207853293;333916689.3;66818795.32;49743937.01;17074858.3;0.200106187;0.148971101;0.051135085;5073324;40.96984403;1.612464311;-0.284688958;4047881;0.797875515;1025443;0.202124485;388077;316394;251520;134950;28302;8662;7680;52117;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
2018;BR;Normalização e Qualidade;2811606.0;784046.43;770303.0137;214807.2411;0.77;207853293;333916689.3;66818795.32;49743937.01;17074858.3;0.200106187;0.148971101;0.051135085;5073324;40.96984403;1.612464311;-0.284688958;4047881;0.797875515;1025443;0.202124485;388077;316394;251520;134950;28302;8662;7680;52117;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
2018;BR;Normatização e Fiscalização;160937944.0;115149420.7;44092587.4;31547786.49;0.77;207853293;333916689.3;66818795.32;49743937.01;17074858.3;0.200106187;0.148971101;0.051135085;5073324;40.96984403;1.612464311;-0.284688958;4047881;0.797875515;1025443;0.202124485;388077;316394;251520;134950;28302;8662;7680;52117;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
2018;BR;Preservação e Conservação Ambiental;1166387.0;542784.59;319558.0822;148708.1068;0.77;207853293;333916689.3;66818795.32;49743937.01;17074858.3;0.200106187;0.148971101;0.051135085;5073324;40.96984403;1.612464311;-0.284688958;4047881;0.797875515;1025443;0.202124485;388077;316394;251520;134950;28302;8662;7680;52117;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
2018;BR;Promoção Comercial;9091476.0;8022167.62;2490815.342;2197854.142;0.77;207853293;333916689.3;66818795.32;49743937.01;17074858.3;0.200106187;0.148971101;0.051135085;5073324;40.96984403;1.612464311;-0.284688958;4047881;0.797875515;1025443;0.202124485;388077;316394;251520;134950;28302;8662;7680;52117;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
2018;BR;Promoção da Produção Agropecuária;467110664.0;48553628.67;127975524.4;13302364.02;0.77;207853293;333916689.3;66818795.32;49743937.01;17074858.3;0.200106187;0.148971101;0.051135085;5073324;40.96984403;1.612464311;-0.284688958;4047881;0.797875515;1025443;0.202124485;388077;316394;251520;134950;28302;8662;7680;52117;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
2018;BR;Promoção da Produção Agropecuária;370859328.0;370607726.8;101605295.3;101536363.5;0.77;207853293;333916689.3;66818795.32;49743937.01;17074858.3;0.200106187;0.148971101;0.051135085;5073324;40.96984403;1.612464311;-0.284688958;4047881;0.797875515;1025443;0.202124485;388077;316394;251520;134950;28302;8662;7680;52117;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
2018;BR;Proteção e Benefícios ao Trabalhador;252806392.0;222071214.6;69262025.21;60841428.66;0.77;207853293;333916689.3;66818795.32;49743937.01;17074858.3;0.200106187;0.148971101;0.051135085;5073324;40.96984403;1.612464311;-0.284688958;4047881;0.797875515;1025443;0.202124485;388077;316394;251520;134950;28302;8662;7680;52117;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2018;CO;Promoção da Produção Agropecuária;750000.0;6373.19;205479.4521;1746.079452;0.791;15963500;173727730.8;34763993.71;25880411.42;8883582.288;0.200106187;0.148971101;0.051135085;347263;45.96948134;1.662469604;-0.243060127;265213;0.763723748;82050;0.236276252;20508;43610;13193;4884;3037;246;1457;3231;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
2018;DF;Desenvolvimento Tecnológico e Engenharia;3990598.0;578958.59;1093314.521;158618.7918;0.845;2972209;254817204.7;50990499.1;37960399.66;13030099.43;0.200106187;0.148971101;0.051135085;5246;566.5667175;2.753251059;4.091625222;1211;0.230842547;4035;0.769157453;3568;418;218;163;35;7;88;42;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
