;Pago_USD;PIB;Log_Pop_Por_Propriedade;%_Receber_Orientacao_Tecnica;tipoacao_CAPEX;regiao_BR;regiao_Centro-Oeste;regiao_Norte;regiao_Sudeste;regiao_Sul;unidadeorcamentaria_EMBRAPA;unidadeorcamentaria_INCRA;unidadeorcamentaria_MAPA;unidadeorcamentaria_SFB
Pago_USD;1.0;0.013073816339569862;-0.023292171930888395;-0.03519221108577201;0.019623316478133566;0.442320069773614;-0.08282629608766204;-0.1215282712095229;-0.09174887530222811;-0.07841890012988326;-0.08286958739992169;-0.07404847523272236;0.09629900267893471;-0.013196401825260561
PIB;0.013073816339569862;1.0;0.487725827003315;0.3576902141939109;-0.02137577802051926;0.027375413757008762;-0.10581284831231963;-0.3092451532937012;0.6628882494561299;0.08993705784003209;0.033164628478222005;-0.007104131866413743;-0.017206646275311856;0.006959151265219071
Log_Pop_Por_Propriedade;-0.023292171930888395;0.487725827003315;1.0;0.6296442055038461;0.0486011655547053;-0.05028993321966194;0.37285881448730523;-0.14905792016657257;0.412853152871892;-0.10080203197629156;0.08289858495844994;0.0003877506102013125;-0.08395113680628737;-0.008247272104832584
%_Receber_Orientacao_Tecnica;-0.03519221108577201;0.3576902141939109;0.6296442055038461;1.0;0.031360678935016005;-0.08207113956744064;0.4454726740295281;-0.32134710030214453;0.1509347172846188;0.529063892060648;-0.004877261498918922;0.008889932867638714;-0.020227227235083006;-0.014155545091233578
tipoacao_CAPEX;0.019623316478133566;-0.02137577802051926;0.0486011655547053;0.031360678935016005;1.0;0.2084479746089426;0.010647585593488882;-0.09501973017241308;-0.03933499375578127;-0.06329911074717393;0.08321283831927029;-0.07196143412675896;-0.007769772004000335;-0.017583946503069412
regiao_BR;0.442320069773614;0.027375413757008762;-0.05028993321966194;-0.08207113956744064;0.2084479746089426;1.0;-0.1874581613293911;-0.27184438759919677;-0.2118296364340809;-0.18109405241854756;-0.0473006956808245;0.04137465913868609;-0.04374245976688913;0.1724789635655235
regiao_Centro-Oeste;-0.08282629608766204;-0.10581284831231963;0.37285881448730523;0.4454726740295281;0.010647585593488882;-0.1874581613293911;1.0;-0.17471811108706195;-0.13614580855202116;-0.11639162775109464;0.010207749952659101;-0.02803379829313872;-0.001967971459182194;-0.03233258937799201
regiao_Norte;-0.1215282712095229;-0.3092451532937012;-0.14905792016657257;-0.32134710030214453;-0.09501973017241308;-0.27184438759919677;-0.17471811108706195;1.0;-0.19743324957182812;-0.16878652038026357;0.0589872907468958;0.06552998528748837;-0.05193957490960131;-0.046887438224213866
regiao_Sudeste;-0.09174887530222811;0.6628882494561299;0.412853152871892;0.1509347172846188;-0.03933499375578127;-0.2118296364340809;-0.13614580855202116;-0.19743324957182812;1.0;-0.1315237278315266;0.02443826626621502;-0.016472808728402108;0.023948915240886482;-0.036536156144611864
regiao_Sul;-0.07841890012988326;0.08993705784003209;-0.10080203197629156;0.529063892060648;-0.06329911074717393;-0.18109405241854756;-0.11639162775109464;-0.16878652038026357;-0.1315237278315266;1.0;-0.04338502164578956;0.0007836512468267941;0.03774315673946211;-0.031234914469031608
unidadeorcamentaria_EMBRAPA;-0.08286958739992169;0.033164628478222005;0.08289858495844994;-0.004877261498918922;0.08321283831927029;-0.0473006956808245;0.010207749952659101;0.0589872907468958;0.02443826626621502;-0.04338502164578956;1.0;-0.21851330564324606;-0.6774834313143391;-0.05339424266992084
unidadeorcamentaria_INCRA;-0.07404847523272236;-0.007104131866413743;0.0003877506102013125;0.008889932867638714;-0.07196143412675896;0.04137465913868609;-0.02803379829313872;0.06552998528748837;-0.016472808728402108;0.0007836512468267941;-0.21851330564324606;1.0;-0.450553916810946;-0.03550933359863229
unidadeorcamentaria_MAPA;0.09629900267893471;-0.017206646275311856;-0.08395113680628737;-0.020227227235083006;-0.007769772004000335;-0.04374245976688913;-0.001967971459182194;-0.05193957490960131;0.023948915240886482;0.03774315673946211;-0.6774834313143391;-0.450553916810946;1.0;-0.11009391441527766
unidadeorcamentaria_SFB;-0.013196401825260561;0.006959151265219071;-0.008247272104832584;-0.014155545091233578;-0.017583946503069412;0.1724789635655235;-0.03233258937799201;-0.046887438224213866;-0.036536156144611864;-0.031234914469031608;-0.05339424266992084;-0.03550933359863229;-0.11009391441527766;1.0
